岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
1高级python开发工程师,深圳极联信息技术股份有限公司,1.5-2.5万,深圳-南山区,大专,5-7年经验,民营,500-1000人,五险一金 全勤奖 补充公积金 补充医疗保险 专业培训 每日下午茶 健身房 淋浴室,12-14,https://jobs.51job.com/shenzhen-nsq/136061841.html?s=sou_sou_soulb&t=0_0
python软件开发工程师,深圳金蝶账无忧网络科技有限公司,1.2-2万,深圳-南山区,本科,3-4年经验,民营,50-150人,五险一金 免费班车 年终奖金 弹性工作 员工旅游 专业培训,12-15,https://jobs.51job.com/shenzhen-nsq/127587017.html?s=sou_sou_soulb&t=0_0
通用软件开发（JAVA/PYTHON/C/C++）,上海兆殷特科技有限公司,1.5-3万,深圳-龙岗区,本科,2年经验,民营,150-500人,五险一金 年终奖金 弹性工作 绩效奖金,12-14,https://jobs.51job.com/shenzhen-lgq/144271948.html?s=sou_sou_soulb&t=0_0
Python 开发工程师,深圳优奇智行科技有限公司,1.5-2.5万,深圳-坪山区,本科,5-7年经验,民营,150-500人,五险一金 弹性工作 年终奖金 绩效奖金,12-14,https://jobs.51job.com/shenzhen-psq/144097400.html?s=sou_sou_soulb&t=0_0
Python初级开发工程师,深圳市易达恒通供应链管理有限公司,6-8千,深圳-福田区,大专,2年经验,民营,50-150人,周末双休 带薪年假 五险一金 绩效奖金 餐饮补贴 加班补贴,12-14,https://jobs.51job.com/shenzhen-ftq/129405054.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳金蝶账无忧网络科技有限公司,1.3-2万,深圳-南山区,本科,3-4年经验,民营,50-150人,专业培训 周末双休 五险一金 免费班车 员工旅游 定期体检,12-15,https://jobs.51job.com/shenzhen-nsq/134509971.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳吉兰丁智能科技有限公司,1.5-2万,深圳,本科,1年经验,民营,50-150人,专业培训 五险一金 绩效奖金 年终奖金,12-13,https://jobs.51job.com/shenzhen/136136728.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳联纳科技有限公司,2.5-5万,深圳-南山区,硕士,2年经验,合资,少于50人,,12-11,https://jobs.51job.com/shenzhen-nsq/138262121.html?s=sou_sou_soulb&t=0_0
python数据开发,深圳市德科信息技术有限公司,1.3-1.7万,深圳,本科,3-4年经验,民营,1000-5000人,五险一金 弹性工作,12-07,https://jobs.51job.com/shenzhen/144445800.html?s=sou_sou_soulb&t=0_0
Java/Python/JS/C/C++软件开发,上海兆殷特科技有限公司,1.5-3万,西安,本科,无需经验,民营,150-500人,五险一金 专业培训 免费班车 年终奖金 绩效奖金 定期体检 补充商业保险 餐饮补贴,12-07,https://jobs.51job.com/xian/144272152.html?s=sou_sou_soulb&t=0_1
Python开发工程师,深圳市睿服科技有限公司,1.3-2万,深圳-宝安区,本科,3-4年经验,民营,1000-5000人,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 员工体检,12-06,https://jobs.51job.com/shenzhen-baq/128007863.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳乐动机器人股份有限公司,2-3万,深圳-南山区,本科,5-7年经验,民营,500-1000人,五险一金 绩效奖金 年终奖金 补充公积金 专业培训 弹性工作 员工旅游 定期体检 补充医疗保险,12-06,https://jobs.51job.com/shenzhen-nsq/144631877.html?s=sou_sou_soulb&t=0_0
python开发（双休+大平台+稳定）,上海华腾软件系统有限公司,1.3-2.2万·13薪,深圳-福田区,本科,3-4年经验,已上市,500-1000人,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 加班费 部门团建,12-06,https://jobs.51job.com/shenzhen-ftq/140456357.html?s=sou_sou_soulb&t=0_0
Python开发工程师/软件开发,兄弟高科技（深圳）有限公司,6-8千,深圳-龙岗区,本科,1年经验,外资（非欧美）,1000-5000人,五险一金 员工旅游 年终奖金 绩效奖金 出国机会 专业培训 餐饮补贴 定期体检,12-04,https://jobs.51job.com/shenzhen-lgq/142852017.html?s=sou_sou_soulb&t=0_0
